简易计税备案,一般纳税人简易办法征收认定
一证一码,一照一码
税务登记证件补办,证件增补发
土地出让,土地出（转）让
土地转让,土地出（转）让
丢失发票,丢失被盗发票
办税操作,历史办税
误收退税,误收多缴退抵税
多缴退税,汇算清缴
四技服务,四技
逾期抵扣,逾期增值税
未按期抵扣,未按期申报抵扣
已报税证明单,发票已报税证明
发票验旧,发票验（交）旧
代开发票,代开增值税普通发票
代开发票,代开增值税专用发票
红票,红字增值税专用发票
红字发票,红字增值税专用发票
对外付汇,服务贸易等项目对外支付税务备案
资源税证明,资源税管理证明
完费证明,税收完税（费）证明
完税凭证,完税证明
网签三方协议,新三方协议
残保金,残疾人就业保障金
土增税,土地增值税
环保税,环境保护税
车购税,车辆购置税
个税,个人所得税
统计调查,重点税源
统计调查,税收调查
大连,大连市
西岗区,大连市西岗区
西岗,大连市西岗区
中山区,大连市中山区
中山,大连市中山区
甘井子区,大连市甘井子区
甘井子,大连市甘井子区
沙河口区,大连市沙河口区
沙河口,大连市沙河口区
国税局,国家税务总局
庄河,庄河市
旅顺,大连市旅顺口区
金州区,大连市金州区
金州,大连市金州区
瓦房店,瓦房店市
普兰店,大连市普兰店区
长海,长海县
开发区,经济技术开发区
高新区,高新技术产业园区
长兴岛,大连市长兴岛经济区
花园口,大连市花园口经济区
月,月份
纳税申报期,征期
申报期,征期
这个月,本月
